N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;AF 6148;D;2030;20251226;20260102;0000500;NTE;NTE;100;E90;J;1;;;;;W25;60;;;21JUL25 1122;
N;LYS;AF 6148;D;2030;20260109;20260327;0000500;NTE;NTE;100;E90;J;1;;;;;W25;61;;;21JUL25 1122;
N;LYS;AF 6151;A;0640;20251027;20260326;1234000;NCE;NCE;100;E90;J;1;;;;;W25;62;;;03JUN25 1507;
N;LYS;AF 6152;D;0725;20251027;20260326;1234000;CFR;CFR;100;E90;J;1;;;;;W25;63;;;14MAY25 1331;
N;LYS;AF 6153;A;1045;20251027;20260326;1234000;CFR;CFR;100;E90;J;1;1050;;;;W25;64;;;10JUL25 1455;
N;LYS;AF 6154;D;1145;20251027;20260326;1234000;NCE;NCE;100;E90;J;1;;;;;W25;65;;;03JUN25 1509;
N;LYS;AF 6155;A;1420;20251026;20260322;0000007;NCE;NCE;100;E90;J;1;;;;;W25;66;;;14MAY25 1331;
N;LYS;AF 6155;A;1435;20251027;20260326;1234000;NCE;NCE;100;E90;J;1;;;;;W25;67;;;03JUN25 1510;
N;LYS;AF 6155;A;1525;20251031;20260327;0000500;NCE;NCE;100;E90;J;1;;;;;W25;68;;;14MAY25 1331;
N;LYS;AF 6156;D;1510;20251026;20260322;0000007;CFR;CFR;100;E90;J;1;;;;;W25;69;;;14MAY25 1331;
N;LYS;AF 6156;D;1515;20251027;20260326;1234000;CFR;CFR;100;E90;J;1;;;;;W25;70;;;14MAY25 1331;
N;LYS;AF 6156;D;1610;20251031;20260327;0000500;CFR;CFR;100;E90;J;1;;;;;W25;71;;;03JUN25 1509;
N;LYS;AF 6157;A;1835;20251026;20260322;0000007;CFR;CFR;100;E90;J;1;;;;;W25;72;;;14MAY25 1331;
N;LYS;AF 6157;A;1840;20251027;20260326;1234000;CFR;CFR;100;E90;J;1;;;;;W25;73;;;14MAY25 1331;
N;LYS;AF 6157;A;1935;20251031;20260327;0000500;CFR;CFR;100;E90;J;1;;;;;W25;74;;;03JUN25 1509;
N;LYS;AF 6158;D;1925;20251026;20260322;0000007;NCE;NCE;100;E90;J;1;;;;;W25;75;;;14MAY25 1331;
N;LYS;AF 6158;D;1920;20251027;20260326;1234000;NCE;NCE;100;E90;J;1;;;;;W25;76;;;03JUN25 1510;
N;LYS;AF 6158;D;2030;20251031;20260327;0000500;NCE;NCE;100;E90;J;1;;;;;W25;77;;;14MAY25 1331;
N;LYS;AF 6161;A;0645;20251027;20260326;1234000;MRS;MRS;100;E90;J;1;;;;;W25;78;;;03JUN25 1509;
N;LYS;AF 6162;D;0720;20251027;20260326;1234000;BES;BES;100;E90;J;1;;;;;W25;79;;;14MAY25 1331;
N;LYS;AF 6163;A;1105;20251027;20260326;1234000;BES;BES;100;E90;J;1;;;;;W25;80;;;14MAY25 1331;
N;LYS;AF 6164;D;1130;20251027;20260326;1234000;MRS;MRS;100;E90;J;1;;;;;W25;81;;;03JUN25 1509;
N;LYS;AF 6165;A;1430;20251026;20260326;1234007;MRS;MRS;100;E90;J;1;;;;;W25;82;;;03JUN25 1507;
N;LYS;AF 6165;A;1530;20251031;20260327;0000500;MRS;MRS;100;E90;J;1;;;;;W25;83;;;03JUN25 1509;
N;LYS;AF 6166;D;1500;20251026;20260322;0000007;BES;BES;100;E90;J;1;;;;;W25;84;;;14MAY25 1331;
N;LYS;AF 6166;D;1510;20251027;20260326;1234000;BES;BES;100;E90;J;1;;;;;W25;85;;;14MAY25 1331;
N;LYS;AF 6166;D;1605;20251031;20260327;0000500;BES;BES;100;E90;J;1;;;;;W25;86;;;14MAY25 1331;
N;LYS;AF 6167;A;1845;20251026;20260322;0000007;BES;BES;100;E90;J;1;;;;;W25;87;;;14MAY25 1331;
N;LYS;AF 6167;A;1855;20251027;20260326;1234000;BES;BES;100;E90;J;1;;;;;W25;88;;;14MAY25 1331;
N;LYS;AF 6167;A;1950;20251031;20260327;0000500;BES;BES;100;E90;J;1;;;;;W25;89;;;14MAY25 1331;
N;LYS;AF 6168;D;1915;20251026;20260322;0000007;MRS;MRS;100;E90;J;1;;;;;W25;90;;;14MAY25 1331;
N;LYS;AF 6168;D;1935;20251027;20260326;1234000;MRS;MRS;100;E90;J;1;;;;;W25;91;;;03JUN25 1508;
N;LYS;AF 6168;D;2015;20251031;20260327;0000500;MRS;MRS;100;E90;J;1;;;;;W25;92;;;03JUN25 1507;
